date,age_group_0,age_group_1,age_group_2,age_group_3
17.05.20,13,41,18,8
18.05.20,81,126,47,61
19.05.20,59,118,48,66
20.05.20,87,165,55,75
21.05.20,15,28,5,20
22.05.20,51,106,46,44
23.05.20,25,44,21,33
24.05.20,17,25,13,19
25.05.20,50,137,72,55
26.05.20,57,79,36,30
27.05.20,36,80,35,31
28.05.20,37,65,33,36
29.05.20,38,68,27,31
30.05.20,13,22,10,16
31.05.20,13,18,9,8
01.06.20,10,20,19,10
02.06.20,41,79,33,25
03.06.20,47,66,30,14
04.06.20,34,68,31,39
05.06.20,41,69,26,18
06.06.20,17,29,11,11
07.06.20,11,22,12,7
08.06.20,34,66,30,20
09.06.20,39,57,31,15
10.06.20,35,47,17,20
11.06.20,29,39,12,15
12.06.20,28,38,10,12
13.06.20,12,20,8,9
14.06.20,5,8,4,5
15.06.20,38,62,18,28
16.06.20,24,45,24,6
17.06.20,35,51,17,18
18.06.20,38,46,11,12
19.06.20,54,41,16,9
20.06.20,18,14,10,8
21.06.20,5,7,5,3
22.06.20,34,57,26,24
23.06.20,37,54,13,6
24.06.20,45,37,11,7
25.06.20,30,30,10,5
26.06.20,32,55,16,8
27.06.20,10,18,8,5
28.06.20,6,8,6,3
29.06.20,39,60,17,9
30.06.20,42,40,12,5
01.07.20,54,59,11,9
02.07.20,33,35,15,8
03.07.20,25,41,17,11
04.07.20,25,26,8,5
05.07.20,5,10,4,5
06.07.20,30,56,15,11
07.07.20,27,57,10,5
08.07.20,54,58,18,6
09.07.20,38,68,10,8
10.07.20,48,60,14,5
11.07.20,24,20,11,7
12.07.20,10,20,9,4
13.07.20,71,105,37,11
14.07.20,86,85,21,13
15.07.20,106,107,36,8
16.07.20,91,101,16,14
17.07.20,109,119,34,12
18.07.20,56,51,16,7
19.07.20,24,30,5,5
20.07.20,186,204,40,11
21.07.20,48,65,18,14
22.07.20,207,281,50,13
23.07.20,183,201,40,15
24.07.20,221,212,49,13
25.07.20,92,111,15,11
26.07.20,69,76,25,14
27.07.20,221,293,48,28
28.07.20,253,356,51,22
29.07.20,254,351,72,23
30.07.20,249,294,74,17
31.07.20,271,336,53,22
01.08.20,122,148,32,7
02.08.20,58,73,10,6
03.08.20,327,364,79,21
04.08.20,334,393,73,8
05.08.20,319,357,62,23
06.08.20,327,355,60,25
07.08.20,322,341,67,36
08.08.20,127,141,27,7
09.08.20,42,59,18,3
10.08.20,335,426,79,28
11.08.20,303,348,46,17
12.08.20,231,283,59,34
13.08.20,233,322,54,55
14.08.20,241,254,54,34
15.08.20,66,76,17,2
16.08.20,51,61,17,3
17.08.20,285,353,45,21
18.08.20,293,336,75,17
19.08.20,233,315,42,22
20.08.20,245,263,47,23
21.08.20,224,229,49,6
22.08.20,82,103,14,4
23.08.20,47,57,6,3
24.08.20,239,322,38,7
25.08.20,220,251,45,11
26.08.20,230,238,39,17
27.08.20,260,224,42,9
28.08.20,270,274,58,12
29.08.20,80,89,18,7
30.08.20,44,58,12,2
31.08.20,282,288,52,12
01.09.20,246,259,47,12
02.09.20,243,275,43,11
03.09.20,300,319,42,13
04.09.20,319,325,62,20
05.09.20,148,139,25,10
06.09.20,61,78,11,4
07.09.20,374,430,76,38
08.09.20,390,384,85,11
09.09.20,451,472,89,8
10.09.20,518,488,108,27
11.09.20,584,553,115,28
12.09.20,269,264,59,23
13.09.20,141,119,32,8
14.09.20,763,724,182,51
15.09.20,723,703,143,59
16.09.20,863,834,187,55
17.09.20,827,757,127,38
18.09.20,762,708,181,52
19.09.20,401,365,92,34
20.09.20,192,203,52,12
21.09.20,932,950,215,102
22.09.20,915,887,210,59
23.09.20,929,932,175,58
24.09.20,846,717,168,59
25.09.20,726,682,157,49
26.09.20,422,345,99,29
27.09.20,235,206,48,29
28.09.20,1143,1152,230,106
29.09.20,1242,1204,280,102
30.09.20,1338,1342,321,83
01.10.20,1446,1369,322,103
02.10.20,1481,1553,352,167
03.10.20,710,675,190,69
04.10.20,449,424,100,39
05.10.20,1944,2424,569,172
06.10.20,2218,2580,646,192
07.10.20,2931,3029,618,184
08.10.20,2671,2987,674,212
09.10.20,3091,3511,878,255
10.10.20,1774,1885,470,155
11.10.20,956,1072,263,96
12.10.20,3584,4632,1127,333
13.10.20,4943,5711,1348,477
14.10.20,4627,5599,1442,522
15.10.20,4314,5426,1383,526
16.10.20,4876,5958,1629,617
17.10.20,2866,3603,914,318
18.10.20,1586,1952,512,214
19.10.20,5098,7226,1942,749
20.10.20,6311,9057,2255,935
21.10.20,5399,8211,2076,884
22.10.20,4909,8137,2218,971
23.10.20,4639,7988,2481,1042
24.10.20,2846,4848,1429,726
25.10.20,1091,2116,638,307
