date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls
17.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
18.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
19.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
20.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
21.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
22.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
23.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
24.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
25.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
26.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
27.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
28.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
29.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
30.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
31.05.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
01.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
02.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
03.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
04.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
05.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
06.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
07.06.20,2.0,2.0,2.0,4.0,0.0,2.0,2.0,3.0
08.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
09.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
10.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
11.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
12.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
13.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
14.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
15.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
16.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
17.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
18.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
19.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
20.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
21.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
22.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
23.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
24.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
25.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
26.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
27.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
28.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
29.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
30.06.20,2.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
01.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
02.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
03.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
04.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
05.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
06.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
07.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
08.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
09.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
10.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
11.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
12.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
13.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
14.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
15.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
16.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
17.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
18.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
19.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
20.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
21.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
22.07.20,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0
